project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
Homebrew,https://github.com/Homebrew/brew/tree/main,https://github.com/Homebrew/brew/blob/main/CONTRIBUTING.md#artificial-intelligencelarge-language-model-aillm-usage,Yes,Yes,No,Yes,Disclose model/tool and only one AI-assisted PR open at a time.,Homebrew,brew,True,False
Icechunk,https://icechunk.io/en/latest/,https://icechunk.io/en/latest/ai-policy/,Yes,No,No,Yes,,,,False,False
Iceshrimp,https://iceshrimp.dev/iceshrimp/iceshrimp.net,https://kb.iceshrimp.dev/s/63ae7f15-e1f1-45d6-ae26-d3a3b35d2e02/doc/ai-policy-paZIKo68tk,No,-,-,-,-,,,False,False
Idris,https://www.idris-lang.org,https://github.com/idris-lang/Idris2/blob/main/CONTRIBUTING.md#things-we-will-not-accept,No,-,-,-,"Has the Claude banner due to [a single Claude commit](https://github.com/idris-lang/Idris2/commit/d83bc7d7964bd99ea16f8888b7cb9143a1343846) that occurred before this policy took effect. After that commit was made, [the project changed their contributing guidelines](https://github.com/idris-lang/Idris2/pull/3755) to block LLM code.",idris-lang,Idris2,True,False
Inkscape,https://inkscape.org,https://social.treehouse.systems/@dysfun/116182391411729473,No,-,Yes,-,The full LLM policy is being actively developed but [appears to lean towards banning generative AI](https://gitlab.com/inkscape/inkscape-board/-/work_items/5#note_3140424828),,,False,False
Inochi2D,https://inochi2d.com,https://github.com/Inochi2D/inochi2d/blob/main/CONTRIBUTING.md#on-generative-ai,No,-,-,-,-,Inochi2D,inochi2d,True,False
Iocaine,https://iocaine.madhouse-project.org,https://git.madhouse-project.org/iocaine/iocaine/src/branch/main/CONTRIBUTING.md,No,-,-,-,-,,,False,False
IREE (Intermediate Representation Execution Environment),https://iree.dev/,https://iree.dev/developers/general/contributing/#ai-tool-use,Yes,Yes,Yes,Yes,"Use ""Assisted-by:"" or ""Co-authored-by:""",iree-org,iree,True,True
Jellyfin,https://jellyfin.org/,https://jellyfin.org/docs/general/contributing/llm-policies/,Yes,No,No,Yes,,,,False,False
Joomla,https://www.joomla.org/,https://developer.joomla.org/generative-ai-policy.html,Yes,Yes,Yes,Yes,,joomla,joomla-cms,True,True
Jqwik,https://jqwik.net,https://github.com/jqwik-team/jqwik/blob/main/CONTRIBUTING.md,No,-,Yes,-,-,jqwik-team,jqwik,True,False
jsoup,https://jsoup.org,https://github.com/jhy/jsoup/blob/master/.github/CONTRIBUTING.md#use-of-ai,No,-,-,-,-,jhy,jsoup,True,False
Kornia,https://github.com/kornia/kornia/tree/main,https://github.com/kornia/kornia/blob/main/AI_POLICY.md,Yes,Yes,No,Yes,"Use ""AI-generated/AI-assisted/No AI"" labels",kornia,kornia,True,False
Krita,https://krita.org,https://invent.kde.org/graphics/krita#user-content-ai-moratorium,No,-,-,-,"[maintainer statement](https://krita-artists.org/t/policy-on-llm-code/178248/12), to be reviewed in October 2026",,,False,False
Kubernetes,https://kubernetes.io/,https://www.kubernetes.dev/docs/guide/pull-requests/#ai-guidance,Yes,Yes,No,Yes,"""Assisted-by:"", ""Co-developed-by:"" not allowed",kubernetes,kubernetes,True,True
Leiningen,https://codeberg.org/leiningen/leiningen,https://codeberg.org/leiningen/leiningen/src/branch/stable/CONTRIBUTING.md#contributing,No,-,Yes*,-,"""Please note that it is ethically unacceptable to submit patches (to this project or any other) which you did not author yourself without giving clear attribution to the original author. Note that this includes submitting changes generated by most so-called ""artificial intelligence"" language models as these systems often make it impossible to even identify (much less credit) the original author.""",,,False,False
libadwaita,https://gnome.pages.gitlab.gnome.org/libadwaita,https://gitlab.gnome.org/GNOME/libadwaita/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,Yes,-,-,,,False,False
libmanette,https://gitlab.gnome.org/GNOME/libmanette,https://gitlab.gnome.org/GNOME/libmanette/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,-,-,,,,False,False
libxml2,https://gitlab.gnome.org/GNOME/libxml2,https://gitlab.gnome.org/GNOME/libxml2#strict-no-llm--no-ai-policy,No,-,-,-,-,,,False,False
Lighthouse,https://www.writelighthouse.com,https://github.com/team-crystalline/Lighthouse/tree/master?tab=readme-ov-file#a-quick-constitution-for-lighthouse,No,-,-,-,-,team-crystalline,Lighthouse,True,False
LinkML,https://linkml.io/,https://github.com/linkml/linkml/blob/main/AI_COVENANT.md,Yes,Yes*,No,Yes,No co-authorship with AI tools allowed; disclose usage when you don't understand the proposed changes fully,linkml,linkml,True,False
Linux Kernel,https://kernel.org/,https://kernel.org/doc/html/next/process/coding-assistants.html,Yes,Yes,Yes,Yes,"""Assisted-by:"" required; DCO required.",torvalds,linux,True,True
